Район выдвижения неизвестен,Яблоко,Прокофьев Андрей Александрович
Субъект выдвижения неизвестен,Новогиреево,Алейник Андрей Владимирович
Субъект выдвижения неизвестен,Беговой,Андрианова Зоя Алексеевна
Субъект выдвижения неизвестен,Останкинский,Бакулина Валентина
Субъект выдвижения неизвестен,Аэропорт,Балановский Леонид Игоревич
Субъект выдвижения неизвестен,Раменки,Баранов Алексей Андреевич
Субъект выдвижения неизвестен,Бирюлево Восточное,Булдаков Николай
Субъект выдвижения неизвестен,Бутырский,Вельмакин Михаил Вадимович
Субъект выдвижения неизвестен,Бабушкинский,Вонс Екатерина Владимировна
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Гайфулина Лилия Азатовна
Субъект выдвижения неизвестен,Коньково,Головач Дмитрий Анатольевич
Субъект выдвижения неизвестен,Ломоносовский,Гордеев Илья Иванович
Субъект выдвижения неизвестен,Красносельский,Грибов Илья Иванович
Субъект выдвижения неизвестен,"Дорогомилово, округ 2",Дрокин Сергей Александрович
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Дулин Виктор Сергеевич
Субъект выдвижения неизвестен,Аэропорт,Дунько Дмитрий
Субъект выдвижения неизвестен,Теплый Стан,Ермаков Станислав Витальевич
Субъект выдвижения неизвестен,Орехово-Борисово Южное,Жаворонков Алексей
Субъект выдвижения неизвестен,Новогиреево,Зверева Софья Михайловна
Субъект выдвижения неизвестен,Раменки,Зёров Николай Александрович
Субъект выдвижения неизвестен,"Дорогомилово, округ 4",Зыкина Мария Вячеславовна
Субъект выдвижения неизвестен,Хорошевский,Иванов Дмитрий
Субъект выдвижения неизвестен,Мещанский,Игнашов Егор Денисович
Субъект выдвижения неизвестен,Выхино-Жулебино,Катков Валерий Семёнович
Субъект выдвижения неизвестен,Якиманка,Киселев Артем Владимирович
Субъект выдвижения неизвестен,Красносельский,Кислицын Арсений Алексеевич
Субъект выдвижения неизвестен,"Дорогомилово, округ 4",Ковалеров Станислав Николаевич
Субъект выдвижения неизвестен,"Марьино, округ 4",Кожан Иван Владимирович
Субъект выдвижения неизвестен,Ломоносовский,Колесова Анастасия Валерьевна
Субъект выдвижения неизвестен,Можайский,Коньков Константин Владимирович
Субъект выдвижения неизвестен,Новогиреево,Королева Софья Михайловна
Субъект выдвижения неизвестен,Дорогомилово,Куркина Екатерина Андреевна
Субъект выдвижения неизвестен,Западное Дегунино,Лилуашвили Георгий Теймуразович
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Лобанов Михаил Сергеевич
Субъект выдвижения неизвестен,Обручевский,Луговской Кирилл Игоревич
Субъект выдвижения неизвестен,"Дорогомилово, округ 1",Луцишин Артур Васильевич
Субъект выдвижения неизвестен,Северное Тушино,Макаров Алексей Игоревич
Субъект выдвижения неизвестен,Покровское-Стрешнево,Мамыкин Семён Владимирович
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Марков Владимир Сергеевич
Субъект выдвижения неизвестен,"Дорогомилово, округ 3",Минажетдинов Харис Саярович
Субъект выдвижения неизвестен,"Крылатское, округ 2",Миняйло Ирина Николаевна
Субъект выдвижения неизвестен,Войковский,Михайлов Константин
Субъект выдвижения неизвестен,Ломоносовский,Нефедов Гордей Юрьевич
Субъект выдвижения неизвестен,Котловка,Николаева Инна Викторовна
Субъект выдвижения неизвестен,Лосиноостровский,Обухова Екатерина Николаевна
Субъект выдвижения неизвестен,"Дорогомилово, округ 2",Овчинникова Ольга Александровна
Субъект выдвижения неизвестен,Дмитровский,Панфилова Анна Леонидовна
Субъект выдвижения неизвестен,Котловка,Петров Андрей Михайлович
Субъект выдвижения неизвестен,Кунцево,Пименов Сергей Александрович
Субъект выдвижения неизвестен,Теплый Стан,Позднеев Юрий Иванович
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Попов Денис Олегович
Субъект выдвижения неизвестен,Теплый Стан,Прушинский Сергей Анатольевич
Субъект выдвижения неизвестен,Южное Бутово,Райт Ольга Вячеславовна
Субъект выдвижения неизвестен,"Дорогомилово, округ 1",Раменский Павел Олегович
Субъект выдвижения неизвестен,Кунцево,Рустамов Элмар Фамилович
Субъект выдвижения неизвестен,"Дорогомилово, округ 4",Садовникова Жанна Витальевна
Субъект выдвижения неизвестен,"Ховрино, округ 1",Свиридова Елена Юрьевна
Субъект выдвижения неизвестен,Котловка,Сморода Наталья Викторовна
Субъект выдвижения неизвестен,Соколиная гора,Сутулов Анатолий Сергеевич
Субъект выдвижения неизвестен,Южное Бутово,Сухоребров Даниил Геннадьевич
Субъект выдвижения неизвестен,Савеловский,Суэрте Мария
Субъект выдвижения неизвестен,"Молжаниновский, округ 2",Тимонин Павел Геннадьевич
Субъект выдвижения неизвестен,Котловка,Тимофеев Никита Валентинович
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Токаев Максим
Субъект выдвижения неизвестен,Коньково,Туба Давор Симович
Субъект выдвижения неизвестен,"Кунцево, округ 2",Тюркин Всеволод Владимирович
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Фомин Андрей
Субъект выдвижения неизвестен,Хорошевский,Хицкова Ольга Михайловна
Субъект выдвижения неизвестен,"Дорогомилово, округ 1",Цыбулькова Елена Юрьевна
Субъект выдвижения неизвестен,Ломоносовский,Чиркин Кирилл Вадимович
Субъект выдвижения неизвестен,Коньково,Шарапова Татьяна
Субъект выдвижения неизвестен,Район выдвижения неизвестен,Шарова Юлия Юрьевна
Субъект выдвижения неизвестен,Северное Бутово,Шишкин Кирилл
Субъект выдвижения неизвестен,Чертаново Центральное,Шищенко Павел
Субъект выдвижения неизвестен,Аэропорт,Ярилин Павел Анатольевич
Академический,Самовыдвижение,Абазокова Алина Зауровна
Академический,КПРФ,Абасалиев Марат Анверович
Академический,СРЗП,Бутов Иван Робертович
